wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1000,2018,02,201802,5.1,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1100,2018,02,201802,6.54,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1200,2018,02,201802,5.61,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1300,2018,02,201802,5.68,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1400,2018,02,201802,5.55,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1500,2018,02,201802,3.56,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1600,2018,02,201802,4.08,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1700,2018,02,201802,2.63,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1800,2018,02,201802,4.32,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1900,2018,02,201802,3.59,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
2100,2018,02,201802,7.3,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3100,2018,02,201802,5.73,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3200,2018,02,201802,8.22,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3300,2018,02,201802,4.19,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3400,2018,02,201802,3,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3500,2018,02,201802,3.77,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3600,2018,02,201802,7.72,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5100,2018,02,201802,0.88,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5200,2018,02,201802,3.28,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5300,2018,02,201802,2.82,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6100,2018,02,201802,4.09,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6200,2018,02,201802,3.14,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6300,2018,02,201802,3.72,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6400,2018,02,201802,6.79,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6500,2018,02,201802,4.7,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7100,2018,02,201802,5.86,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7200,2018,02,201802,3.12,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7300,2018,02,201802,5.04,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7400,2018,02,201802,2.77,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7500,2018,02,201802,3.38,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7600,2018,02,201802,2.33,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8100,2018,02,201802,7.07,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8200,2018,02,201802,4.56,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9100,2018,02,201802,6.27,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9400,2018,02,201802,2.75,5.1,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1000,2018,08,201808,5.3,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1100,2018,08,201808,6.34,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1200,2018,08,201808,5.55,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1300,2018,08,201808,5.66,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1400,2018,08,201808,5.98,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1500,2018,08,201808,3.73,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1600,2018,08,201808,4.27,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1700,2018,08,201808,3.35,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1800,2018,08,201808,4.04,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1900,2018,08,201808,3.61,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
2100,2018,08,201808,8.04,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3100,2018,08,201808,6.65,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3200,2018,08,201808,8.23,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3300,2018,08,201808,4.47,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3400,2018,08,201808,3.37,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3500,2018,08,201808,3.91,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3600,2018,08,201808,8.47,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5100,2018,08,201808,1.4,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5200,2018,08,201808,3.58,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5300,2018,08,201808,2.85,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6100,2018,08,201808,4.18,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6200,2018,08,201808,3.91,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6300,2018,08,201808,4.35,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6400,2018,08,201808,6.41,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6500,2018,08,201808,5.11,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7100,2018,08,201808,6.61,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7200,2018,08,201808,3.37,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7300,2018,08,201808,4.94,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7400,2018,08,201808,3.19,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7500,2018,08,201808,3.7,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7600,2018,08,201808,3.01,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8100,2018,08,201808,6.95,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8200,2018,08,201808,4.63,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9100,2018,08,201808,6.45,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9400,2018,08,201808,3,5.3,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1000,2018,02,201802,4.98,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1100,2018,02,201802,5.48,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1200,2018,02,201802,5.57,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1300,2018,02,201802,5.38,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1400,2018,02,201802,5.36,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1500,2018,02,201802,3.52,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1600,2018,02,201802,4.02,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1700,2018,02,201802,2.41,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1800,2018,02,201802,3.95,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1900,2018,02,201802,3.32,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
2100,2018,02,201802,7.02,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3100,2018,02,201802,5.5,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3200,2018,02,201802,7.78,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3300,2018,02,201802,4.19,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3400,2018,02,201802,2.89,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3500,2018,02,201802,3.77,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3600,2018,02,201802,7.55,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5100,2018,02,201802,1.22,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5200,2018,02,201802,3.15,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5300,2018,02,201802,2.98,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6100,2018,02,201802,4.06,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6200,2018,02,201802,3.21,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6300,2018,02,201802,3.41,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6400,2018,02,201802,6.65,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6500,2018,02,201802,5.84,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7100,2018,02,201802,5.17,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7200,2018,02,201802,3.46,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7300,2018,02,201802,5.1,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7400,2018,02,201802,2.88,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7500,2018,02,201802,3.25,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7600,2018,02,201802,1.29,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8100,2018,02,201802,6.61,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8200,2018,02,201802,4.96,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9100,2018,02,201802,5.81,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9400,2018,02,201802,3.22,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1000,2018,08,201808,5.23,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1100,2018,08,201808,6.17,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1200,2018,08,201808,5.39,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1300,2018,08,201808,5.38,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1400,2018,08,201808,5.76,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1500,2018,08,201808,4.06,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1600,2018,08,201808,4.53,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1700,2018,08,201808,3.26,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1800,2018,08,201808,4.03,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1900,2018,08,201808,3.58,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
2100,2018,08,201808,7.5,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3100,2018,08,201808,6.54,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3200,2018,08,201808,8.04,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3300,2018,08,201808,4.44,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3400,2018,08,201808,3.18,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3500,2018,08,201808,3.82,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3600,2018,08,201808,8.11,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5100,2018,08,201808,1.57,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5200,2018,08,201808,3.28,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5300,2018,08,201808,3.14,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6100,2018,08,201808,4.35,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6200,2018,08,201808,4.04,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6300,2018,08,201808,4.18,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6400,2018,08,201808,5.94,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6500,2018,08,201808,4.49,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7100,2018,08,201808,6.01,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7200,2018,08,201808,3.11,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7300,2018,08,201808,4.62,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7400,2018,08,201808,3.52,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7500,2018,08,201808,3.76,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7600,2018,08,201808,2.98,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8100,2018,08,201808,6.69,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8200,2018,08,201808,4.81,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9100,2018,08,201808,6.43,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9400,2018,08,201808,3.51,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt